"Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué producto obtiene?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/El producto ${producto_espacio} lo ocupa para:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto obtiene de ${producto_espacio} al año?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (Pesca)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (caza)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (recolección)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (compra/venta)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(cultiva)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(otro)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto de los productos obtenidos en los espacio de vida, consume la familia? (expresado en porcentaje)","_index","_parent_table_name","_parent_index","_submission__id","_submission__uuid","_submission__submission_time","_submission__validation_status"
"Frijol","ambos","4","","","","","Otra","Costales","","","","","","","10","475","group_actividades_espacio","296","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Chile","ambos","2","","","","","Otra","Costales","","","","","","","5","476","group_actividades_espacio","296","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Platano tabasco","ambos","50","","","","","Otra","Kilos","","","","","","","10","477","group_actividades_espacio","296","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Platano macho","ambos","60","","","","","Otra","Kilos","","","","","","","10","478","group_actividades_espacio","296","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Platano manzano","venta","50","","","","","Otra","Kilos","","","","","","","10","479","group_actividades_espacio","296","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Aceite","autoconsumo","5","","","","","","","Otra","Litros","","","","","100","480","group_actividades_espacio","297","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Manteca","autoconsumo","5","","","","","","","Kilos","","","","","","100","481","group_actividades_espacio","297","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Nescafe","autoconsumo","2","","","","","","","Piezas","","","","","","100","482","group_actividades_espacio","297","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Mandarina","autoconsumo","4","","","","","","","Kilos","","","","","","100","483","group_actividades_espacio","297","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Maiz","ambos","80","","","","","","","","","Otra","Costales","","","10","484","group_actividades_espacio","298","44443462","0179cdf7-8cde-4554-a554-3aed79d56d37","2020-01-09T04:53:57",""
"Frijol","ambos","4","","","","","","","","","Otra","Costales","","","10","485","group_actividades_espacio","298","44443462","0179cdf7-8cde-4554-a554-3aed79d56d37","2020-01-09T04:53:57",""
"Liche","ambos","20","","","","","","","","","Otra","Cajas","","","30","486","group_actividades_espacio","298","44443462","0179cdf7-8cde-4554-a554-3aed79d56d37","2020-01-09T04:53:57",""
"Mandarinas","ambos","5","","","","","","","","","Otra","Costales","","","10","487","group_actividades_espacio","298","44443462","0179cdf7-8cde-4554-a554-3aed79d56d37","2020-01-09T04:53:57",""
"Maiz","ambos","80","","","","","","","","","Otra","Costales","","","10","488","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Frijol","ambos","2","","","","","","","","","Otra","Costales","","","8","489","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Chile tepin","ambos","4","","","","","","","","","Otra","Costales","","","1","490","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Naranjas","venta","2","","","","","","","","","Otra","Toneladas","","","3","491","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Platano","autoconsumo","2","","","","","","","","","Manojos","","","","100","492","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Ciruela","autoconsumo","5","","","","","","","","","kilos","","","","100","493","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Jobo","autoconsumo","2","","","","","","","","","Otra","Cubetas","","","100","494","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Limon","autoconsumo","5","","","","","","","","","kilos","","","","100","495","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Mandarina","ambos","2","","","","","","","","","Otra","Costales","","","5","496","group_actividades_espacio","299","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Maiz","ambos","60","","","","","Otra","Costales","","","","","","","15","497","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Frijol emecate","ambos","5","","","","","Otra","Costales","","","","","","","5","498","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Frijol pixaje","ambos","8","","","","","Otra","Costales","","","","","","","5","499","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Frijol chimequel","ambos","5","","","","","Otra","Costales","","","","","","","5","500","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Sandia","autoconsumo","5","","","","","Pieza","","","","","","","","100","501","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Melon","autoconsumo","2","","","","","Pieza","","","","","","","","100","502","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Mandarina","autoconsumo","2","","","","","Otra","Costales","","","","","","","100","503","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Naranjas","ambos","10","","","","","Otra","Costales","","","","","","","10","504","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Lima chichi","autoconsumo","2","","","","","Otra","Costales","","","","","","","100","505","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Limon","autoconsumo","5","","","","","Otra","Kilos","","","","","","","100","506","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Chile tepin","ambos","10","","","","","Otra","Costales","","","","","","","3","507","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Chile rayado","ambos","100","","","","","Otra","Costales","","","","","","","3","508","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Platano macho","ambos","6","","","","","Manojo","","","","","","","","50","509","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Platano manzano","autoconsumo","2","","","","","Manojo","","","","","","","","100","510","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Platano tabasco","autoconsumo","2","","","","","Manojo","","","","","","","","100","511","group_actividades_espacio","300","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Calabaza","autoconsumo","6","","","","","","","Piezas","","","","","","100","512","group_actividades_espacio","301","44443488","b774b984-e3fc-4e89-9d96-61044af5cde7","2020-01-09T04:54:39",""
"Tortilla","autoconsumo","10","","","","","","","Kilos","","","","","","100","513","group_actividades_espacio","301","44443488","b774b984-e3fc-4e89-9d96-61044af5cde7","2020-01-09T04:54:39",""
"Chile","autoconsumo","5","","","","","","","Kilos","","","","","","100","514","group_actividades_espacio","301","44443488","b774b984-e3fc-4e89-9d96-61044af5cde7","2020-01-09T04:54:39",""
"Tomate","autoconsumo","10","","","","","","","Kilos","","","","","","100","515","group_actividades_espacio","301","44443488","b774b984-e3fc-4e89-9d96-61044af5cde7","2020-01-09T04:54:39",""
"Cebolla","autoconsumo","6","","","","","","","Kilos","","","","","","100","516","group_actividades_espacio","301","44443488","b774b984-e3fc-4e89-9d96-61044af5cde7","2020-01-09T04:54:39",""
